our_slug	polycab_url
industries/cables-by-type/others/domestic-appliance-and-lighting-cable	https://polycab.com/cables/types/others/domestic-appliance-and-lighting-cable
industries/cables-by-type/others/fire-protection-cable	https://polycab.com/cables/types/others/fire-protection-cable
industries/cables-by-type/others/high-temperature-cable	https://polycab.com/cables/types/others/high-temperature-cable
industries/cables-by-type/others/industrial-cable	https://polycab.com/cables/types/others/industrial-cable
industries/cables-by-type/others/marine-and-offshoreonshore-cable	https://polycab.com/cables/types/others/marine-offshoreonshore-cable
industries/cables-by-type/others/rubber-cable	https://polycab.com/cables/types/others/rubber-cable
industries/cables-by-type/others/special-cable	https://polycab.com/cables/types/others/special-cable
industries/cables-by-type/others	https://polycab.com/cables/types/others
industries/cables-by-type/renewable-energy	https://polycab.com/cables/types/renewable-energy
switchgears/mcb	https://polycab.com/mcb-metal-enclosure-single-door-grey-white-dp-phase/c-5005/p-55739
