our_slug	image_url	polycab_page
industries/cables-by-standards/icea-s-93-639	https://cms.polycab.com/media/vjef24oc/ulpc00367_img_01.png	https://polycab.com/cables/standards/international-standards/icea-s-93-639
industries/cables-by-standards/iec-60092-353	https://cms.polycab.com/media/id5n4m03/icmr00105_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60092-353
industries/cables-by-standards/iec-60092-354	https://cms.polycab.com/media/5cia2do4/icmr00101_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60092-354
industries/cables-by-standards/iec-60092-376	https://cms.polycab.com/media/3uzpxpqi/icmr00177_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60092-376
industries/cables-by-standards/icea-s-97-682	https://cms.polycab.com/media/vjef24oc/ulpc00367_img_01.png	https://polycab.com/cables/standards/international-standards/icea-s-97-682
industries/cables-by-standards/iec-60227-7	https://cms.polycab.com/media/ybfkcdfd/icfl00064_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60227-7
industries/cables-by-standards/iec-60502-2	https://cms.polycab.com/media/am4lzqbl/icpc00361_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60502-2
industries/cables-by-standards/ul-4703	https://cms.polycab.com/media/zh4bxmzq/ulpc00077_img_01.png	https://polycab.com/cables/standards/international-standards/ul-4703
industries/cables-by-standards/iec-60840	https://cms.polycab.com/media/ppwdw0wm/iceh00329_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60840
industries/cables-by-standards/iec-60502-1	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/standards/international-standards/iec-60502-1
industries/cables-by-standards/indian-standards	https://cms.polycab.com/media/qqvf1t5f/standards-05.webp	https://polycab.com/cables/standards/indian-standards-is
industries/cables-by-standards/is-14255	https://cms.polycab.com/media/054hpupu/ispc00462_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-14255
industries/cables-by-standards/international-standards	https://cms.polycab.com/media/hxloho2o/standards-04.webp	https://polycab.com/cables/standards/international-standards
industries/cables-by-standards/is-17048	https://cms.polycab.com/media/pwrge0zq/isid00477_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-17048
industries/cables-by-standards/ieee-1580	https://cms.polycab.com/media/z5ont4wq/iepc00311_img_01.png	https://polycab.com/cables/standards/international-standards/ieee-1580
industries/cables-by-standards/is-9857	https://cms.polycab.com/media/jndjyrxf/isrc00472_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-9857
industries/cables-by-standards/is-694	https://cms.polycab.com/media/hvajt10t/ishw00111_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-694
industries/cables-by-standards/is-7098-ii	https://cms.polycab.com/media/lgqg3qqe/ismv00208_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-7098-ii
industries/cables-by-standards/ul-44	https://cms.polycab.com/media/qnvp0svq/ulpc00074_img_01.png	https://polycab.com/cables/standards/international-standards/ul-44
industries/cables-by-standards/is-7098-i	https://cms.polycab.com/media/xusfuul5/ispc00006_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-7098-i
industries/cables-by-standards/rs-485	https://cms.polycab.com/media/3tpcbv0v/plcd00481_img_01.png	https://polycab.com/cables/standards/international-standards/rs-485
industries/cables-by-standards/ul-1072	https://cms.polycab.com/media/vjef24oc/ulpc00367_img_01.png	https://polycab.com/cables/standards/international-standards/ul-1072
industries/cables-by-standards/is-9968-1	https://cms.polycab.com/media/v3ffqlyv/isrc00117_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-9968-1
industries/cables-by-standards/is-9968-2	https://cms.polycab.com/media/ey2gljta/ismv00460_img_01.png	https://polycab.com/cables/standards/indian-standards-is/is-9968-2
industries/cables-by-standards/polycab-standard	https://cms.polycab.com/media/ckojs2j1/plmv00465_img_01.png	https://polycab.com/cables/standards/indian-standards-is/polycab-standard
industries/cables-by-standards/ul-1277	https://cms.polycab.com/media/rbdp2lhd/ulcc00131_img_01.png	https://polycab.com/cables/standards/international-standards/ul-1277
industries/cables-by-standards/ul-493	https://cms.polycab.com/media/bv2jo0rv/ulcc00134_img_01.png	https://polycab.com/cables/standards/international-standards/ul-493
industries/cables-by-standards/ul-1596	https://cms.polycab.com/media/zafpovpb/ulpc00128_img_01.png	https://polycab.com/cables/standards/international-standards/ul-1596
industries/cables-by-standards/ul-2250	https://cms.polycab.com/media/jmhfbrhy/ulcc00394_img_01.png	https://polycab.com/cables/standards/international-standards/ul-2250
industries/cables-by-standards/ul-1569	https://cms.polycab.com/media/r0glllfk/ulpc00130_img_01.png	https://polycab.com/cables/standards/international-standards/ul-1569
industries/cables-by-standards/ul-83	https://cms.polycab.com/media/yp4c5wwb/ulpc00073_img_01.png	https://polycab.com/cables/standards/international-standards/ul-83
industries/cables-by-type/communication-and-data-cable	https://cms.polycab.com/media/3tpcbv0v/plcd00481_img_01.png	https://polycab.com/cables/types/communication-data-cable
industries/cables-by-standards/ul-854	https://cms.polycab.com/media/1wjjaw5f/ulpc00078_img_01.png	https://polycab.com/cables/standards/international-standards/ul-854
industries/cables-by-standards/ul-62	https://cms.polycab.com/media/5dybq0ip/ulrc00139_img_01.png	https://polycab.com/cables/standards/international-standards/ul-62
industries/cables-by-standards/ul-719	https://cms.polycab.com/media/ao3lz3em/ulcc00135_img_01.png	https://polycab.com/cables/standards/international-standards/ul-719
industries/cables-by-type/ehv-power-cable	https://cms.polycab.com/media/ppwdw0wm/iceh00329_img_01.png	https://polycab.com/cables/types/ehv-power-cable
industries/cables-by-type/mv-power-cable	https://cms.polycab.com/media/vjef24oc/ulpc00367_img_01.png	https://polycab.com/cables/types/mv-power-cable
industries/cables-by-type/others/aerial-bunched-cable	https://cms.polycab.com/media/ckojs2j1/plmv00465_img_01.png	https://polycab.com/cables/types/others/aerial-bunched-cable
industries/cables-by-type/lv-power-cable	https://cms.polycab.com/media/w13jmfix/icpc00297_img_01.png	https://polycab.com/cables/types/lv-power-cable
industries/cables-by-type/instrumentation-cable	https://cms.polycab.com/media/zv2n1vdp/bsit00038_img_01.png	https://polycab.com/cables/types/instrumentation-cable
industries/cables-by-type/others/fire-protection-cable	https://cms.polycab.com/media/o5rm5yuj/plfa00046_img_01.png	https://polycab.com/cables/types/others/fire-protection-cable
industries/cables-by-type/others/defence	https://cms.polycab.com/media/cyfh25ky/enrc00443_img_01.png	https://polycab.com/cables/types/others/defence
industries/cables-by-type/others/building-wires	https://cms.polycab.com/media/hvajt10t/ishw00111_img_01.png	https://polycab.com/cables/types/others/building-wires
industries/cables-by-type/others/control-cable	https://cms.polycab.com/media/gi5lvlh3/ispc00033_img_01.png	https://polycab.com/cables/types/others/control-cable
industries/cables-by-type/others/domestic-appliance-and-lighting-cable	https://cms.polycab.com/media/jb4fv3gw/iccc00318_img_01.png	https://polycab.com/cables/types/others/domestic-appliance-and-lighting-cable
industries/cables-by-type/others/special-cable	https://cms.polycab.com/media/ao3lz3em/ulcc00135_img_01.png	https://polycab.com/cables/types/others/special-cable
industries/cables-by-type/others/rubber-cable	https://cms.polycab.com/media/cyfh25ky/enrc00443_img_01.png	https://polycab.com/cables/types/others/rubber-cable
industries/cables-by-type/others/marine-and-offshoreonshore-cable	https://cms.polycab.com/media/z5ont4wq/iepc00311_img_01.png	https://polycab.com/cables/types/others/marine-offshoreonshore-cable
industries/cables-by-type/others/high-temperature-cable	https://cms.polycab.com/media/cyfh25ky/enrc00443_img_01.png	https://polycab.com/cables/types/others/high-temperature-cable
industries/cables-by-type/others/industrial-cable	https://cms.polycab.com/media/oxffrryn/isid00404_img_01.png	https://polycab.com/cables/types/others/industrial-cable
industries/cables-by-type/others	https://cms.polycab.com/media/oaqnxv45/cable-2.png	https://polycab.com/cables/types/others
industries/cables-by-type/renewable-energy	https://cms.polycab.com/media/kwef34ef/enre00417_img_01.png	https://polycab.com/cables/types/renewable-energy
switchgears/mcb	https://cms.polycab.com/media/r5ubwzan/gpdsn10002_img_01.png	https://polycab.com/mcb-metal-enclosure-single-door-grey-white-dp-phase/c-5005/p-55739
